2,47
7,14
35,50
30,42
3,24
4,42
21,42
15,20
42,50
2,24
3,35
37,39
1,5
15,39
3,10
12,25
19,45
30,40
7,48
39,50
11,22
0,41
0,18
39,45
1,2
22,26
0,29
15,20
5,25
9,47
35,49
17,20
37,44
3,5
2,4
21,26
0,38
9,47
1,14
29,30
4,37
22,49
18,43
35,47
21,48
25,27
10,31
9,46
21,47
18,23
#######
44,35
28,3
10,5
25,3
38,18
10,8
21,9
20,2
31,16
49,7
30,27
24,16
23,15
10,8
19,2
28,3
36,18
43,11
23,21
47,10
45,18
44,18
26,24
50,48
38,31
32,24
43,10
37,7
38,9
30,0
34,32
47,13
42,34
49,32
38,5
12,4
45,14
24,21
46,13
30,26
46,6
40,25
43,13
27,12
38,26
25,22
38,2
47,31
27,12
47,14
#######
7,27
20,46
48,32
44,12
50,41
13,38
47,30
42,4
39,37
0,13
23,0
42,7
34,31
11,37
19,2
5,2
35,7
35,33
15,3
31,39
10,14
23,20
2,10
38,26
15,31
44,34
37,20
36,22
18,26
24,20
19,42
33,48
35,36
40,48
32,20
36,42
45,25
28,24
9,33
14,10
15,9
46,48
6,34
34,2
40,31
42,36
48,28
9,32
26,39
45,28
